"cdabr","vap","pvap","n"
"69450","6949","40,15","13"
"69450","7","0,04","14"
"69450","923","5,33","15"
"69450","6","0,03","16"
"69450","3","0,02","80"
"69450","8855","51,16","22"
"69450","1","0,01","27"
"69450","46","0,27","30"
"69450","138","0,80","44"
"69450","10","0,06","21"
"69493","256","2,15","12"
"69493","4179","35,10","13"
"69493","8","0,07","14"
"69493","502","4,22","15"
"69493","2","0,02","16"
"69493","3","0,03","80"
"69493","6866","57,67","22"
"69493","0","00,00","27"
"69493","37","0,31","30"
"69493","46","0,39","44"
"69493","7","0,06","21"
"62421","24","1,67","12"
"62421","733","50,87","13"
"62421","0","00,00","14"
"62421","45","3,12","15"
"62421","0","00,00","16"
"62421","0","00,00","80"
"62421","620","43,03","22"
"62421","0","00,00","27"
"62421","6","0,42","30"
"62421","13","0,90","44"
"62421","0","00,00","21"
"69779","3477","62,43","22"
"69779","1712","30,74","13"
"69779","221","3,97","15"
"69779","111","1,99","12"
"69779","21","0,38","30"
"69779","20","0,36","44"
"69779","2","0,04","80"
"69779","3","0,05","14"
"69779","2","0,04","21"
"69779","0","00,00","16"
"69779","0","00,00","27"
"61166","224","2,25","12"
"61166","5302","53,34","13"
"61166","1","0,01","14"
"61166","375","3,77","15"
"61166","3","0,03","16"
"61166","4","0,04","80"
"61166","3990","40,14","22"
"61166","0","00,00","27"
"61166","16","0,16","30"
"61166","23","0,23","44"
"61166","2","0,02","21"
"69892","993","55,79","22"
"69892","658","36,97","13"
"69892","82","4,61","15"
"69892","39","2,19","12"
"69892","3","0,17","30"
"69892","0","00,00","44"
"69892","1","0,06","80"
"69892","1","0,06","14"
"69892","0","00,00","21"
"69892","2","0,11","16"
"69892","1","0,06","27"
"69957","49","3,17","12"
"69957","734","47,54","13"
"69957","3","0,19","14"
"69957","72","4,66","15"
"69957","0","00,00","16"
"69957","1","0,06","80"
"69957","673","43,59","22"
"69957","0","00,00","27"
"69957","2","0,13","30"
"69957","10","0,65","44"
"69957","0","00,00","21"
"70033","31","1,04","12"
"70033","1234","41,28","13"
"70033","3","0,10","14"
"70033","110","3,68","15"
"70033","0","00,00","16"
"70033","0","00,00","80"
"70033","1602","53,60","22"
"70033","0","00,00","27"
"70033","3","0,10","30"
"70033","6","0,20","44"
"70033","0","00,00","21"
"70114","42","1,64","12"
"70114","1562","61,11","13"
"70114","2","0,08","14"
"70114","76","2,97","15"
"70114","0","00,00","16"
"70114","0","00,00","80"
"70114","863","33,76","22"
"70114","0","00,00","27"
"70114","5","0,20","30"
"70114","6","0,23","44"
"70114","0","00,00","21"
"70432","20","1,05","12"
"70432","884","46,53","13"
"70432","0","00,00","14"
"70432","83","4,37","15"
"70432","0","00,00","16"
"70432","0","00,00","80"
"70432","905","47,63","22"
"70432","0","00,00","27"
"70432","3","0,16","30"
"70432","5","0,26","44"
"70432","0","00,00","21"
"70556","217","1,91","12"
"70556","4412","38,85","13"
"70556","13","0,11","14"
"70556","380","3,35","15"
"70556","0","00,00","16"
"70556","2","0,02","80"
"70556","6251","55,04","22"
"70556","1","0,01","27"
"70556","36","0,32","30"
"70556","44","0,39","44"
"70556","1","0,01","21"
"61328","77","1,40","12"
"61328","2206","40,01","13"
"61328","1","0,02","14"
"61328","179","3,25","15"
"61328","0","00,00","16"
"61328","0","00,00","80"
"61328","3026","54,89","22"
"61328","1","0,02","27"
"61328","13","0,24","30"
"61328","10","0,18","44"
"61328","0","00,00","21"
"70670","27","1,31","12"
"70670","954","46,27","13"
"70670","0","00,00","14"
"70670","62","3,01","15"
"70670","0","00,00","16"
"70670","0","00,00","80"
"70670","1006","48,79","22"
"70670","0","00,00","27"
"70670","3","0,15","30"
"70670","10","0,48","44"
"70670","0","00,00","21"
"70696","42","1,74","12"
"70696","959","39,83","13"
"70696","0","00,00","14"
"70696","76","3,16","15"
"70696","0","00,00","16"
"70696","0","00,00","80"
"70696","1315","54,61","22"
"70696","0","00,00","27"
"70696","6","0,25","30"
"70696","10","0,42","44"
"70696","0","00,00","21"
"71471","78","1,69","12"
"71471","2206","47,93","13"
